ID,length,height,bodyAngle,wheelAngle,headAngle,time
12906,2844,247,524,109,91,1
1517,2648,265,567,318,518,2
1518,3723,260,293,204,550,2
1519,3723,262,293,204,549,2
1522,3878,261,60,813,748,2
1529,2777,274,568,431,542,2
1531,2869,240,530,159,98,2
1532,2869,242,530,159,98,1
1536,3371,264,241,377,486,2
1540,2869,243,535,152,96,1
1541,3217,489,495,15,40,1
1543,3217,489,495,15,40,1
1545,3241,325,723,42,173,8
1548,3217,486,495,15,40,1
1549,3545,494,364,35,203,1
1550,3546,486,371,30,209,2
1551,2643,262,345,361,711,4
12412,3667,248,379,59,112,1
1553,2572,326,355,331,737,2
1554,2916,447,551,15,62,2
1559,2395,482,189,67,99,2
1561,2395,483,189,67,99,1
1562,2675,326,757,67,73,2
1569,2890,263,627,169,166,5
1570,2890,265,627,169,166,2
1573,3631,319,392,10,179,2
1576,2890,264,627,169,166,3
1578,3040,333,170,310,544,2
1579,3040,331,170,311,544,2
1580,2659,336,748,69,112,2
1581,2659,338,748,69,112,2
1582,2658,340,748,69,112,2
7629,3760,321,162,150,492,1
1586,2761,335,427,239,486,3
1587,2761,339,426,239,486,1
1588,2761,336,424,239,486,1
1590,3041,327,167,314,548,2
19667,4086,261,140,263,479,1
1595,3220,323,386,228,296,3
1596,4089,335,60,122,122,2
1598,4089,336,67,127,128,1
1600,4089,332,60,121,122,2
1601,4060,329,549,345,642,1
1605,2659,335,750,72,111,1
1606,2601,446,57,52,177,1
1607,4089,332,67,126,128,1
1608,2789,329,619,31,234,1
1609,2621,323,220,48,385,2
1610,2621,323,220,48,385,2
1611,3164,465,128,253,374,2
1613,2853,482,558,8,71,1
1614,2789,329,619,29,234,2
1617,2854,479,560,5,66,1
1620,2944,264,627,104,152,2
1621,2944,267,623,104,152,2
1622,2944,268,627,104,151,2
1623,2928,260,423,429,470,2
1624,2996,258,386,221,23,2
1625,3774,263,455,286,462,2
1628,3774,270,455,287,462,2
1630,3774,267,455,287,461,2
1633,2219,447,191,134,103,1
1634,2752,470,571,4,371,1
1635,2508,330,626,132,310,1
1636,2828,337,658,21,203,3
1637,3008,232,508,315,102,1
1638,3008,233,508,315,102,1
1639,3008,237,508,315,102,2
6799,3828,266,166,286,435,1
1644,2817,271,595,124,218,2
1646,3774,263,458,289,464,3
1654,3008,253,507,315,102,2
1471,4114,256,142,363,530,1
1664,2822,264,601,86,211,2
1665,3381,332,441,446,520,1
1666,2634,263,589,238,501,3
1674,3429,450,415,125,444,1
1675,4275,256,76,39,138,2
1679,4088,256,138,301,507,2
1688,3017,262,542,207,299,2
1693,2823,261,600,86,211,2
1694,2899,256,777,54,189,2
1696,2862,260,642,65,157,2
1698,2779,255,534,375,323,2
1700,2927,495,335,167,459,1
1701,2612,329,220,54,467,2
1702,2612,329,220,54,467,2
1704,2752,466,577,176,343,1
1706,2407,491,189,40,86,1
1707,2407,489,189,40,84,1
1708,2407,487,189,40,84,2
1709,2752,464,577,176,343,1
6929,2653,251,178,202,388,1
1714,2998,259,519,267,114,3
1715,2775,226,1468,437,547,4
1716,2752,463,577,177,343,1
1717,3494,264,430,201,509,2
1718,2962,493,603,233,277,1
1720,3720,327,159,461,489,2
1721,2407,487,196,48,76,1
1722,3719,330,159,462,488,3
1724,2848,239,536,27,71,1
1726,3235,435,504,143,51,1
1727,2834,254,623,4,177,2
1728,2848,242,536,27,71,1
